nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,7.5e-06,5.35673,0,0,0,0,0,,
1,0,7.5e-06,39.8763,0,0,0,0,0,,
2,0,7.5e-06,103.304,0,0,0,0,0,,
3,0,7.5e-06,66.2588,0,0,0,0,0,,
4,0,7.5e-06,66.2588,0,0,0,0,0,,
5,0,7.5e-06,39.8763,0,0,0,0,0,,
6,0,7.5e-06,217.484,0,0,0,0,0,,
7,0,7.5e-06,103.304,0,0,0,0,0,,
8,0,7.5e-06,91.8026,0,0,0,0,0,,
9,0,7.5e-06,5.35673,0,0,0,0,0,,
10,0,7.5e-06,18.6604,0,1,0,1,0,,
11,0,7.5e-06,243.193,0,1,0,1,0,,
12,0,7.5e-06,79.5826,0,1,0,1,0,,
13,0,7.5e-06,140.472,0,1,0,1,0,,
14,0,7.5e-06,210.662,0,1,0,1,0,,
15,0,7.5e-06,140.472,0,1,0,1,0,,
16,0,7.5e-06,18.6604,0,1,0,1,0,,
17,0,7.5e-06,85.7359,0,1,0,1,0,,
18,0,7.5e-06,149.521,0,1,0,1,0,,
19,0,7.5e-06,149.521,0,1,0,1,0,,
20,0,7.5e-06,89.5104,0,2,0,2,0,,
21,0,7.5e-06,180.863,0,2,0,2,0,,
22,0,7.5e-06,176.119,0,2,0,2,0,,
23,0,7.5e-06,626.178,0,2,0,2,0,,
24,0,7.5e-06,2060.86,0,2,0,2,0,,
25,0,7.5e-06,176.119,0,2,0,2,0,,
26,0,7.5e-06,156.91,0,2,0,2,0,,
27,0,7.5e-06,74.5478,0,2,0,2,0,,
28,0,7.5e-06,74.5478,0,2,0,2,0,,
29,0,7.5e-06,89.5104,0,2,0,2,0,,
30,0,7.5e-06,79.771,0,3,0,3,0,,
31,0,7.5e-06,79.771,0,3,0,3,0,,
32,0,7.5e-06,35.281,0,3,0,3,0,,
33,0,7.5e-06,148.429,0,3,0,3,0,,
34,0,7.5e-06,306.195,0,3,0,3,0,,
35,0,7.5e-06,35.281,0,3,0,3,0,,
36,0,7.5e-06,98.0018,0,3,0,3,0,,
37,0,7.5e-06,148.429,0,3,0,3,0,,
38,0,7.5e-06,1556.21,0,3,0,3,0,,
39,0,7.5e-06,98.0018,0,3,0,3,0,,
51,5.35673,7.5e-06,75.4943,75.4943,0,0,0,0,,9;0
94,18.6604,7.5e-06,60.9223,60.9223,1,0,1,0,,16;10
143,35.281,7.5e-06,438.079,438.079,3,0,3,0,,35;32
159,39.8763,7.5e-06,51.9263,51.9263,0,0,0,0,,5;1
255,66.2588,7.5e-06,14.5922,14.5922,0,0,0,0,,4;3
287,74.5478,7.5e-06,106.315,106.315,2,1,2,1,,28;27
313,79.5826,7.5e-06,6.15325,6.15325,1,0,1,0,,12;94
317,79.771,7.5e-06,118.182,118.182,3,1,3,1,,30;31
322,80.851,7.5e-06,49.037,49.037,0,1,0,1,,255;51
341,85.7359,7.5e-06,157.457,157.457,1,0,1,0,,313;17
359,89.5104,7.5e-06,67.3997,67.3997,2,1,2,1,,29;20
365,91.8026,7.5e-06,38.0854,38.0854,0,0,0,0,,159;8
391,98.0018,7.5e-06,806.524,806.524,3,0,3,0,,39;36
410,103.304,7.5e-06,114.18,114.18,0,0,0,0,,7;2
503,129.888,7.5e-06,18685.7,18685.7,0,1,0,1,,322;365
530,140.472,7.5e-06,70.1901,70.1901,1,1,1,1,,13;15
562,148.429,7.5e-06,49.524,49.524,3,0,3,0,,37;33
567,149.521,7.5e-06,1491.67,1491.67,1,1,1,1,,18;19
589,156.91,7.5e-06,811.952,811.952,2,1,2,1,,359;26
651,176.119,7.5e-06,792.742,792.742,2,1,2,1,,25;22
661,180.863,7.5e-06,445.315,445.315,2,0,2,0,,21;287
709,197.953,7.5e-06,108.242,108.242,3,1,3,1,,562;317
749,210.662,7.5e-06,5082.05,5082.05,1,1,1,1,,530;14
767,217.484,7.5e-06,2123.38,2123.38,0,0,0,0,,6;410
829,243.193,7.5e-06,1398,1398,1,0,1,0,,11;341
952,306.195,7.5e-06,167.166,167.166,3,1,3,1,,709;34
1249,473.36,7.5e-06,431.165,431.165,3,0,3,0,,143;952
1467,626.178,7.5e-06,1434.68,1434.68,2,0,2,0,,661;23
1763,904.525,7.5e-06,651.687,651.687,3,1,3,1,,1249;391
1813,968.862,7.5e-06,3240.09,3240.09,2,1,2,1,,651;589
2152,1556.21,7.5e-06,784.649,784.649,3,0,3,0,,38;1763
2200,1641.19,7.5e-06,5323.16,5323.16,1,0,1,0,,829;567
2375,2060.86,7.5e-06,2148.09,2148.09,2,1,2,1,,24;1467
2446,2340.86,7.5e-06,4623.49,4623.49,0,0,0,0,,767;2152
2843,4208.95,7.5e-06,1083.76,1083.76,1,0,1,0,,2375;1813
2988,5292.71,7.5e-06,13522.9,13522.9,0,0,0,0,,749;2843
3121,6964.35,7.5e-06,31213.5,31213.5,0,0,0,0,,2446;2200
3476,18815.6,7.5e-06,19362.3,19362.3,0,0,0,0,,2988;503
3685,38177.9,7.5e-06,0,0,0,1,0,1,,3121;3476
